"Name";"Photo";"AdmArea";"District";"Location";"RegistrationNumber";"State";"LocationType";"global_id";"geodata_center";"geoarea";
"Название объекта";"Фотография";"Административный округ по адресу";"Район";"Месторасположение";"Государственный регистрационный знак";"Состояние регистрации";"Тип места расположения";"global_id";"geodata_center";"geoarea";
"МОУШН СФЕРА";"6271a285-d5af-446d-aa40-6da5d236b55f";"Юго-Восточный административный округ";"район Марьино";"ТРК «MARI»";"0296-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386835260";"";"";
"ДИНАМИЧЕСКАЯ ПЛАТФОРМА EP 4VR ST";"9c2a9b4e-7596-4f7d-a4da-d86d57c821e6";"Юго-Восточный административный округ";"район Марьино";"ТРК «MARI»";"2333-77";"аттракцион зарегистрирован";"торгово-развлекательный комплекс";"2386886293";"";"";
